latitude,longitude,messageTime,odometer.value,truck_name,timeedit,datetime
43.064462,-76.120604,2020-12-17T16:04:10Z,14899.61,977157,2020-12-17 16:04:10+00:00,2020-12-17 12:00:00
43.064177,-76.120248,2020-12-17T16:04:25Z,14899.61,977157,2020-12-17 16:04:25+00:00,2020-12-17 12:00:00
43.06368,-76.120177,2020-12-17T16:04:41Z,14899.67,977157,2020-12-17 16:04:41+00:00,2020-12-17 12:00:00
43.062897,-76.120106,2020-12-17T16:04:56Z,14899.74,977157,2020-12-17 16:04:56+00:00,2020-12-17 12:00:00
43.062186,-76.120035,2020-12-17T16:05:11Z,14899.74,977157,2020-12-17 16:05:11+00:00,2020-12-17 12:00:00
43.061475,-76.119964,2020-12-17T16:05:26Z,14899.8,977157,2020-12-17 16:05:26+00:00,2020-12-17 12:00:00
43.061333,-76.119537,2020-12-17T16:05:42Z,14899.86,977157,2020-12-17 16:05:42+00:00,2020-12-17 12:00:00
43.061333,-76.118328,2020-12-17T16:05:57Z,14899.86,977157,2020-12-17 16:05:57+00:00,2020-12-17 12:00:00
43.064675,-76.115128,2020-12-17T15:51:12Z,23093.07,938761,2020-12-17 15:51:12+00:00,2020-12-17 11:00:00
43.065386,-76.1152,2020-12-17T15:51:27Z,23093.14,938761,2020-12-17 15:51:27+00:00,2020-12-17 11:00:00
43.066168,-76.115271,2020-12-17T15:51:42Z,23093.2,938761,2020-12-17 15:51:42+00:00,2020-12-17 11:00:00
43.066808,-76.115342,2020-12-17T15:51:58Z,23093.2,938761,2020-12-17 15:51:58+00:00,2020-12-17 11:00:00
43.067448,-76.115413,2020-12-17T15:52:13Z,23093.26,938761,2020-12-17 15:52:13+00:00,2020-12-17 11:00:00
43.067591,-76.115626,2020-12-17T15:52:28Z,23093.32,938761,2020-12-17 15:52:28+00:00,2020-12-17 11:00:00
43.067662,-76.115626,2020-12-17T15:52:44Z,23093.32,938761,2020-12-17 15:52:44+00:00,2020-12-17 11:00:00
43.067591,-76.115697,2020-12-17T15:52:59Z,23093.32,938761,2020-12-17 15:52:59+00:00,2020-12-17 11:00:00
43.067164,-76.115626,2020-12-17T15:53:14Z,23093.32,938761,2020-12-17 15:53:14+00:00,2020-12-17 11:00:00
43.066382,-76.115626,2020-12-17T15:53:30Z,23093.38,938761,2020-12-17 15:53:30+00:00,2020-12-17 11:00:00
43.0656,-76.115555,2020-12-17T15:53:45Z,23093.45,938761,2020-12-17 15:53:45+00:00,2020-12-17 11:00:00
43.064817,-76.115484,2020-12-17T15:54:00Z,23093.45,938761,2020-12-17 15:54:00+00:00,2020-12-17 11:00:00
43.064035,-76.115413,2020-12-17T15:54:16Z,23093.51,938761,2020-12-17 15:54:16+00:00,2020-12-17 11:00:00
43.063111,-76.115342,2020-12-17T15:54:31Z,23093.63,938761,2020-12-17 15:54:31+00:00,2020-12-17 11:00:00
43.062613,-76.1152,2020-12-17T15:54:46Z,23093.7,938761,2020-12-17 15:54:46+00:00,2020-12-17 11:00:00
43.062897,-76.114986,2020-12-17T15:55:02Z,23093.7,938761,2020-12-17 15:55:02+00:00,2020-12-17 11:00:00
43.06368,-76.115057,2020-12-17T15:55:17Z,23093.7,938761,2020-12-17 15:55:17+00:00,2020-12-17 11:00:00
43.064675,-76.115128,2020-12-17T15:55:33Z,23093.82,938761,2020-12-17 15:55:33+00:00,2020-12-17 11:00:00
43.065528,-76.1152,2020-12-17T15:55:48Z,23093.88,938761,2020-12-17 15:55:48+00:00,2020-12-17 11:00:00
43.066595,-76.115271,2020-12-17T15:56:03Z,23093.94,938761,2020-12-17 15:56:03+00:00,2020-12-17 11:00:00
43.067377,-76.115342,2020-12-17T15:56:19Z,23093.94,938761,2020-12-17 15:56:19+00:00,2020-12-17 11:00:00
43.067804,-76.115555,2020-12-17T15:56:34Z,23094.01,938761,2020-12-17 15:56:34+00:00,2020-12-17 11:00:00
43.068302,-76.115555,2020-12-17T15:56:49Z,23094.07,938761,2020-12-17 15:56:49+00:00,2020-12-17 11:00:00
43.068373,-76.115057,2020-12-17T15:57:05Z,23094.13,938761,2020-12-17 15:57:05+00:00,2020-12-17 11:00:00
43.068657,-76.115342,2020-12-17T15:57:20Z,23094.13,938761,2020-12-17 15:57:20+00:00,2020-12-17 11:00:00
43.068515,-76.115555,2020-12-17T15:57:35Z,23094.13,938761,2020-12-17 15:57:35+00:00,2020-12-17 11:00:00
43.067804,-76.115555,2020-12-17T15:57:50Z,23094.19,938761,2020-12-17 15:57:50+00:00,2020-12-17 11:00:00
43.067591,-76.115697,2020-12-17T15:58:06Z,23094.25,938761,2020-12-17 15:58:06+00:00,2020-12-17 11:00:00
43.067164,-76.115697,2020-12-17T15:58:21Z,23094.25,938761,2020-12-17 15:58:21+00:00,2020-12-17 11:00:00
43.066524,-76.115626,2020-12-17T15:58:37Z,23094.25,938761,2020-12-17 15:58:37+00:00,2020-12-17 11:00:00
43.065955,-76.115626,2020-12-17T15:58:52Z,23094.32,938761,2020-12-17 15:58:52+00:00,2020-12-17 11:00:00
43.065386,-76.115626,2020-12-17T15:59:07Z,23094.38,938761,2020-12-17 15:59:07+00:00,2020-12-17 11:00:00
43.064746,-76.115555,2020-12-17T15:59:23Z,23094.44,938761,2020-12-17 15:59:23+00:00,2020-12-17 11:00:00
43.064675,-76.115697,2020-12-17T15:59:38Z,23094.44,938761,2020-12-17 15:59:38+00:00,2020-12-17 11:00:00
43.064746,-76.115697,2020-12-17T15:59:53Z,23094.44,938761,2020-12-17 15:59:53+00:00,2020-12-17 11:00:00
43.064817,-76.115626,2020-12-17T16:00:09Z,23094.44,938761,2020-12-17 16:00:09+00:00,2020-12-17 12:00:00
43.064746,-76.115697,2020-12-17T16:00:24Z,23094.44,938761,2020-12-17 16:00:24+00:00,2020-12-17 12:00:00
43.064746,-76.115697,2020-12-17T16:00:39Z,23094.44,938761,2020-12-17 16:00:39+00:00,2020-12-17 12:00:00
43.064746,-76.115626,2020-12-17T16:00:55Z,23094.44,938761,2020-12-17 16:00:55+00:00,2020-12-17 12:00:00
43.064817,-76.115555,2020-12-17T16:01:10Z,23094.44,938761,2020-12-17 16:01:10+00:00,2020-12-17 12:00:00
43.064746,-76.115626,2020-12-17T16:01:26Z,23094.44,938761,2020-12-17 16:01:26+00:00,2020-12-17 12:00:00
43.064675,-76.115697,2020-12-17T16:01:41Z,23094.44,938761,2020-12-17 16:01:41+00:00,2020-12-17 12:00:00
43.064675,-76.115768,2020-12-17T16:01:56Z,23094.44,938761,2020-12-17 16:01:56+00:00,2020-12-17 12:00:00
43.064604,-76.115768,2020-12-17T16:02:12Z,23094.44,938761,2020-12-17 16:02:12+00:00,2020-12-17 12:00:00
43.064604,-76.115768,2020-12-17T16:02:27Z,23094.44,938761,2020-12-17 16:02:27+00:00,2020-12-17 12:00:00
43.064604,-76.115768,2020-12-17T16:02:42Z,23094.44,938761,2020-12-17 16:02:42+00:00,2020-12-17 12:00:00
43.064604,-76.115768,2020-12-17T16:02:58Z,23094.44,938761,2020-12-17 16:02:58+00:00,2020-12-17 12:00:00
43.064604,-76.115768,2020-12-17T16:03:13Z,23094.44,938761,2020-12-17 16:03:13+00:00,2020-12-17 12:00:00
43.064675,-76.115768,2020-12-17T16:03:28Z,23094.44,938761,2020-12-17 16:03:28+00:00,2020-12-17 12:00:00
43.064675,-76.115768,2020-12-17T16:03:44Z,23094.44,938761,2020-12-17 16:03:44+00:00,2020-12-17 12:00:00
43.064675,-76.115768,2020-12-17T16:03:59Z,23094.44,938761,2020-12-17 16:03:59+00:00,2020-12-17 12:00:00
43.064604,-76.115768,2020-12-17T16:04:14Z,23094.44,938761,2020-12-17 16:04:14+00:00,2020-12-17 12:00:00
43.064604,-76.115768,2020-12-17T16:04:30Z,23094.44,938761,2020-12-17 16:04:30+00:00,2020-12-17 12:00:00
43.064604,-76.115911,2020-12-17T16:04:45Z,23094.44,938761,2020-12-17 16:04:45+00:00,2020-12-17 12:00:00
